unique_id,category,variation,filename paste,file,inches,inch_variance,radius_max,servings_min,servings_max,scale_min,scale_max,rotate_min,rotate_max,center_x,center_y,pie_count
0000,box,cardboard,0000-box-cardboard,Y,,,,,,,,,,2048,2048,
0010,box,greasy,0000-box-greasy,Y,,,,,,,,,,2048,2048,
0500,paper,redchecker,0500-paper-redchecker,Y,,,,,,,,,,2048,2048,
1000,crust,thincrust,1000-crust-thincrust,Y,,,,,,,,,,2048,2048,
1010,crust,thickcrust,1010-crust-thickcrust,Y,,,,,,,,,,2048,2048,
1020,crust,mooncrust,1020-crust-mooncrust,Y,,,,,,,,,,2048,2048,
1030,crust,stuffedcheese,1030-crust-stuffedcheese,N,,,,,,,,,,2048,2048,
1040,crust,castle,,,,,,,,,,,,2048,2048,
1050,crust,whitebread,,,,,,,,,,,,2048,2048,
1060,crust,cauliflower,,,,,,,,,,,,2048,2048,
1070,crust,,,,,,,,,,,,,2048,2048,
2000,sauce,tomato,2000-sauce-tomato,Y,,,,,,,,,,2048,2048,
2010,sauce,pesto,2010-sauce-pesto,Y,,,,,,,,,,2048,2048,
2020,sauce,mud,2020-sauce-mud,Y,,,,,,,,,,2048,2048,
2030,sauce,bbq,2030-sauce-bbq,Y,,,,,,,,,,2048,2048,
2040,sauce,nutella,2040-sauce-nutella,N,,,,,,,,,,2048,2048,
2050,sauce,white,2050-sauce-white,N,,,,,,,,,,2048,2048,
2060,sauce,deepspace,2060-sauce-deepspace,Y,,,,,,,,,,2048,2048,
2070,sauce,prismicfluid,2070-sauce-prismicfluid,Y,,,,,,,,,,2048,2048,
2080,sauce,currysauce,2080-sauce-currysauce,N,,,,,,,,,,2048,2048,
2090,sauce,redglitter,2090-sauce-redglitter,N,,,,,,,,,,2048,2048,
3000,cheese,mozzarella,3000-cheese-mozzarella,Y,,,,,,,,,,2048,2048,
3010,cheese,digitalvegan,3010-cheese-digitalvegan,Y,,,,,,,,,,2048,2048,
3020,cheese,fetaballs,3020-cheese-fetaballs,Y,,,,,,,,,,2048,2048,
3030,cheese,smoked mozzarella,3030-cheese-smoked mozzarella,Y,,,,,,,,,,2048,2048,
3031,cheese,smoked mozzarella,3031-cheese-smoked mozzarella,Y,,,,,,,,,,2048,2048,
3032,cheese,smoked mozzarella,3032-cheese-smoked mozzarella,Y,,,,,,,,,,2048,2048,
3040,cheese,goat,3040-cheese-goat,Y,,,,,,,,,,2048,2048,
3050,cheese,czech,3050-cheese-czech,Y,,,,,,,,,,2048,2048,
3060,cheese,,3060-cheese-,N,,,,,,,,,,2048,2048,
3070,cheese,provolone,3070-cheese-provolone,Y,,,,,,,,,,2048,2048,
3071,cheese,provolone,3071-cheese-provolone,Y,,,,,,,,,,2048,2048,
3080,cheese,,3080-cheese-,N,,,,,,,,,,2048,2048,
3090,cheese,chezdoge,3090-cheese-chezdoge,Y,,,,,,,,,,2048,2048,
3100,cheese,,3100-cheese-,N,,,,,,,,,,2048,2048,
3110,cheese,,3110-cheese-,N,,,,,,,,,,2048,2048,
3120,cheese,,3120-cheese-,N,,,,,,,,,,2048,2048,
3120,extra-cheese,korbacik,3120-extra-cheese-korbacik,Y,,,,,,,,,,2048,2048,
3140,cheese,,3140-cheese-,N,,,,,,,,,,2048,2048,
3150,cheese,,3150-cheese-,N,,,,,,,,,,2048,2048,
3160,cheese,,3160-cheese-,N,,,,,,,,,,2048,2048,
3170,cheese,,3170-cheese-,N,,,,,,,,,,2048,2048,
3171,cheese,cheesecake,#REF!,N,,,,,,,,,,2048,2048,
